name,vid,start,end,side,player,type
0056,V007,34779,34800,Left,Far,Topspin
0057,V007,34802,34828,Left,Far,Topspin
0058,V007,34830,34860,Right,Far,Topspin
0059,V007,34862,34902,Left,Far,Slice
0060,V007,35907,35926,Right,Far,Topspin
0061,V007,35927,35958,Right,Far,Slice
0062,V007,35961,35986,Right,Far,Topspin
0063,V007,35988,36016,Left,Far,Volley
0064,V007,36640,36657,Left,Far,Topspin
0065,V007,36661,36682,Left,Far,Topspin
0066,V007,36685,36711,Right,Far,Topspin
0067,V007,36713,36731,Left,Far,Volley
0068,V007,37966,37984,Right,Far,Slice
0069,V007,37995,38032,Left,Far,Topspin
0070,V007,38472,38496,Right,Far,Slice
0071,V007,38948,38967,Right,Far,Topspin
0072,V007,39602,39623,Right,Far,Topspin
0073,V007,39626,39654,Right,Far,Topspin
0074,V007,40254,40273,Right,Far,Topspin
0075,V007,40277,40300,Left,Far,Topspin
0076,V007,40778,40795,Right,Far,Topspin
0077,V007,40798,40825,Left,Far,Topspin
0078,V007,40827,40857,Left,Far,Topspin
0079,V007,41559,41581,Right,Far,Topspin
0080,V007,41583,41612,Right,Far,Topspin
0081,V007,41614,41643,Right,Far,Topspin
0082,V007,42349,42373,Left,Far,Topspin
0083,V007,42375,42410,Left,Far,Topspin
0084,V007,43374,43394,Left,Far,Topspin
0085,V007,43398,43435,Left,Far,Topspin
0086,V007,43979,43997,Left,Near,Topspin
0087,V007,43999,44020,Right,Near,Slice
0088,V007,44468,44490,Left,Far,Slice
0089,V007,45069,45089,Right,Far,Topspin
0090,V007,45091,45119,Right,Far,Topspin
0091,V007,45121,45156,Left,Far,Slice
0092,V007,45159,45191,Left,Far,Topspin
0093,V007,45194,45225,Right,Far,Topspin
0094,V007,45802,45823,Left,Far,Slice
0095,V007,47340,47361,Left,Far,Topspin
0096,V007,47364,47387,Right,Far,Topspin
0097,V007,47391,47430,Right,Far,Slice
0098,V007,48171,48199,Left,Far,Unsure
0099,V007,48726,48747,Right,Far,Slice
0100,V007,49139,49160,Left,Far,Slice
0101,V007,49167,49213,Right,Far,Topspin
0102,V007,49891,49914,Left,Far,Topspin
0103,V007,52459,52479,Right,Near,Topspin
0104,V007,52482,52512,Right,Near,Topspin
0105,V007,52514,52541,Right,Near,Topspin
0106,V007,52544,52574,Right,Near,Topspin
0107,V007,52576,52609,Right,Near,Topspin
0108,V007,52612,52639,Right,Near,Topspin
0109,V007,52641,52674,Left,Near,Topspin
0110,V007,52676,52711,Left,Near,Slice
0111,V007,53517,53541,Right,Near,Topspin
0112,V007,53543,53568,Left,Near,Topspin
0113,V007,53571,53600,Right,Near,Topspin
0114,V007,53603,53635,Right,Near,Slice
0115,V007,54166,54190,Left,Near,Slice
0116,V007,54194,54224,Right,Near,Topspin
0117,V007,54227,54250,Right,Near,Topspin
0118,V007,54251,54270,Right,Near,Volley
0119,V007,54272,54293,Left,Near,Topspin
0120,V007,54867,54881,Right,Near,Unsure
0121,V007,55268,55284,Left,Near,Topspin
0122,V007,55288,55317,Right,Near,Topspin
0123,V007,56006,56026,Right,Near,Topspin
0124,V007,56029,56044,Left,Near,Slice
0125,V007,56049,56090,Left,Near,Unsure
0126,V007,56092,56123,Right,Near,Smash
0127,V007,56125,56159,Left,Near,Topspin
0128,V007,56161,56191,Right,Near,Topspin
0129,V007,56194,56227,Right,Near,Topspin
0130,V007,56229,56250,Left,Near,Volley
0131,V007,57627,57644,Right,Near,Topspin
0132,V007,57647,57668,Left,Near,Unsure
0133,V007,58225,58245,Right,Near,Slice
0134,V007,58248,58273,Left,Near,Volley
0135,V007,58937,58954,Left,Near,Topspin
0136,V007,58957,58984,Right,Near,Topspin
0137,V007,58986,59017,Left,Near,Topspin
0138,V007,59020,59046,Left,Near,Topspin
0139,V007,60096,60116,Left,Near,Unsure
0140,V007,60397,60423,Left,Near,Slice
0141,V007,60428,60456,Right,Near,Topspin
0142,V007,60945,60966,Right,Near,Slice
0143,V007,60969,60998,Left,Near,Topspin
0144,V007,62012,62031,Right,Near,Slice
0145,V007,62034,62075,Left,Near,Topspin
0146,V007,62077,62111,Left,Near,Topspin
0147,V007,62561,62584,Left,Near,Slice
0148,V007,66017,66039,Right,Near,Slice
0149,V007,66239,66263,Right,Far,Topspin
0150,V007,66264,66293,Left,Far,Topspin
0151,V007,67035,67057,Left,Far,Topspin
0152,V007,67059,67089,Right,Far,Topspin
0153,V007,67091,67117,Left,Far,Topspin
0154,V007,67117.0,67157,Left,Far,Topspin
0155,V007,67916,67941,Right,Far,Flat
0156,V007,67944,67986,Left,Far,Slice
0157,V007,68313,68333,Right,Far,Topspin
0158,V007,68335,68370,Left,Far,Topspin
0159,V007,68373,68398,Left,Far,Topspin
0160,V007,68400,68419,Left,Far,Volley
0161,V007,69424,69447,Left,Far,Topspin
0162,V007,69831,69857,Left,Far,Slice
0163,V007,71424,71448,Left,Near,Slice
0164,V007,71451,71503,Right,Near,Topspin
0165,V007,71507,71539,Right,Near,Slice
0166,V007,71544,71591,Right,Near,Slice
0167,V007,72156,72181,Left,Near,Slice
0168,V007,72700,72719,Right,Near,Topspin
0169,V007,72721,72755,Left,Near,Topspin
0170,V007,72758,72795,Left,Near,Slice
0171,V007,72799,72834,Right,Near,Slice
0172,V007,72836,72874,Left,Near,Slice
0173,V007,72876,72907,Left,Near,Topspin
0174,V007,72908,72927,Left,Near,Volley
0175,V007,73681,73705,Right,Near,Slice
0176,V007,73710,73766,Left,Near,Topspin
0177,V007,75009,75039,Right,Near,Slice
0178,V007,75807,75843,Left,Near,Slice
0179,V007,76466,76491,Left,Near,Slice
0180,V007,76494,76525,Right,Near,Topspin
0181,V007,77646,77670,Left,Near,Topspin
0182,V007,77672,77711,Right,Near,Topspin
0183,V007,77713,77741,Left,Near,Topspin
0184,V007,77744,77775,Right,Near,Topspin
0185,V007,77777,77809,Left,Near,Topspin
0186,V007,77811,77849,Left,Near,Slice
0187,V007,78464,78489,Left,Near,Topspin
0188,V007,79372,79394,Right,Near,Unsure
0189,V007,80191,80210,Right,Near,Topspin
0190,V007,80212,80231,Left,Near,Volley
0191,V007,80233,80263,Right,Near,Topspin
0192,V007,80265,80294,Left,Near,Volley
0193,V007,82837,82858,Right,Far,Slice
0194,V007,83241,83259,Left,Far,Slice
0195,V007,83262,83295,Right,Far,Topspin
0196,V007,83297,83325,Right,Far,Unsure
0197,V007,83788,83808,Right,Far,Slice
0198,V007,84386,84412,Right,Far,Slice
0199,V007,85086,85107,Right,Far,Unsure
0200,V007,85110,85138,Left,Far,Topspin
0201,V007,85142,85182,Left,Far,Topspin
0202,V007,85184,85214,Right,Far,Topspin
0203,V007,85216,85250,Right,Far,Topspin
0204,V007,85252,85289,Right,Far,Slice
0205,V007,85294,85326,Right,Far,Flat
0206,V007,86012,86040,Left,Near,Topspin
0207,V007,86504,86527,Right,Far,Topspin
0208,V007,86530,86556,Left,Far,Topspin
0209,V007,86559,86582,Right,Far,Topspin
0210,V007,86586,86615,Left,Far,Slice
0211,V007,86620,86661,Left,Far,Slice
0212,V007,86664,86684,Right,Far,Volley
0213,V007,87325,87344,Right,Far,Topspin
0214,V007,87347,87375,Left,Far,Topspin
0215,V007,87378,87402,Right,Far,Topspin
0216,V007,87406,87433,Left,Far,Topspin
0217,V007,87437,87472,Left,Far,Slice
0218,V007,87475,87494,Left,Far,Volley
0219,V007,87497,87524,Right,Far,Flat
0220,V007,87528,87564,Left,Far,Smash
0221,V007,88241,88266,Right,Far,Topspin
0222,V007,88269,88293,Right,Far,Slice
0223,V007,88299,88336,Right,Far,Topspin
0224,V007,88338,88361,Left,Far,Topspin
0225,V007,88363,88386,Right,Far,Volley
0226,V007,89571,89592,Right,Far,Topspin
0227,V007,89595,89628,Left,Far,Topspin
0228,V007,89632,89662,Right,Far,Topspin
0229,V007,89664,89693,Left,Far,Topspin
0230,V007,90394,90415,Left,Far,Topspin
0231,V007,90953,90975,Right,Far,Topspin
0232,V007,90978,91002,Left,Far,Topspin
0233,V007,91709,91727,Right,Far,Topspin
0234,V007,91730,91762,Left,Far,Topspin
0235,V007,91765,91794,Left,Far,Topspin
0236,V007,91796,91834,Left,Far,Topspin
0237,V007,91836,91867,Right,Far,Topspin
0238,V007,91870,91905,Right,Far,Topspin
0239,V007,91908,91929,Right,Far,Volley
0240,V007,95225,95247,Right,Near,Topspin
0241,V007,95250,95277,Left,Near,Slice
0242,V007,95280,95303,Left,Near,Slice
0243,V007,95919,95943,Left,Near,Slice
0244,V007,95947,95992,Left,Near,Topspin
0245,V007,96735,96760,Right,Near,Slice
0246,V007,96763,96797,Right,Near,Topspin
0247,V007,97438,97459,Right,Near,Topspin
0248,V007,97461,97488,Left,Near,Topspin
0249,V007,97491,97547,Left,Near,Topspin
0250,V007,98317,98338,Right,Near,Slice
0251,V007,98342,98376,Right,Near,Topspin
0252,V007,98378,98412,Left,Near,Slice
0253,V007,99281,99304,Right,Near,Topspin
0254,V007,99308,99336,Left,Near,Topspin
0255,V007,99340,99376,Left,Near,Slice
0256,V007,100111,100134,Left,Near,Slice
0257,V007,100741,100766,Right,Near,Slice
0258,V007,100771,100802,Left,Near,Topspin
0259,V007,100805,100832,Right,Near,Topspin
0260,V007,100837,100868,Right,Near,Topspin
0261,V007,100872,100920,Left,Near,Slice
0262,V007,101692,101713,Right,Near,Flat
0263,V007,101716,101751,Left,Near,Slice
0264,V007,101755,101786,Right,Near,Topspin
0265,V007,102244,102283,Right,Near,Slice
0266,V007,102287,102327,Right,Near,Flat
0267,V007,103075,103093,Right,Near,Topspin
0268,V007,103096,103122,Right,Near,Topspin
0269,V007,103125,103153,Left,Near,Topspin
0270,V007,103156,103186,Right,Near,Topspin
0271,V007,103189,103220,Right,Near,Topspin
0272,V007,103223,103253,Left,Near,Slice
0273,V007,103257,103285,Left,Near,Topspin
0274,V007,103288,103316,Right,Near,Topspin
0275,V007,103319,103343,Left,Near,Topspin
0276,V007,104115,104143,Right,Near,Topspin
0277,V007,104144,104167,Right,Near,Topspin
0278,V007,104169,104196,Left,Near,Topspin
0279,V007,104198,104224,Right,Near,Topspin
0280,V007,104226,104258,Left,Near,Topspin
0281,V007,104260,104289,Left,Near,Slice
0282,V007,104291,104329,Left,Near,Topspin
0283,V007,105165,105188,Right,Near,Slice
0284,V007,105191,105229,Left,Near,Slice
0285,V007,105231,105251,Left,Near,Volley
0286,V007,105254,105278,Left,Near,Volley
0287,V007,108077,108101,Left,Far,Unsure
0288,V007,108591.0,108620,Left,Near,Topspin
0289,V007,108958,108984,Right,Far,Topspin
0290,V007,109727,109756,Left,Far,Topspin
0291,V007,109758,109788,Right,Far,Topspin
0292,V007,109791,109821,Right,Far,Topspin
0293,V007,110562,110592,Right,Far,Topspin
0294,V007,110594,110624,Left,Far,Topspin
0295,V007,110627,110661,Right,Far,Topspin
0296,V007,110664,110691,Left,Far,Topspin
0297,V007,110694,110729,Left,Far,Unsure
0298,V007,111629,111652,Right,Far,Topspin
0299,V007,111656,111687,Left,Far,Topspin
0300,V007,111689,111713,Left,Far,Topspin
0301,V007,111715,111741,Right,Far,Topspin
0302,V007,111744,111773.0,Left,Far,Topspin
0303,V007,112672,112697,Left,Far,Topspin
0304,V007,112700,112729,Right,Far,Topspin
0305,V007,112732,112765,Right,Far,Topspin
0306,V007,112767,112795,Right,Far,Topspin
0307,V007,112798,112824,Left,Far,Topspin
0308,V007,112827,112856,Right,Far,Topspin
0309,V007,112859,112894,Right,Far,Topspin
0310,V007,112896,112910,Left,Far,Volley
0311,V007,112928,112966,Left,Far,Unsure
0312,V007,114256,114281,Left,Far,Topspin
0313,V007,114284,114313,Right,Far,Topspin
0314,V007,114316,114346,Right,Far,Topspin
0315,V007,114348,114377,Left,Far,Topspin
0316,V007,114380,114412,Left,Far,Topspin
0317,V007,115314,115343,Left,Far,Flat
0318,V007,115346,115380,Right,Far,Topspin
0319,V007,115386,115421,Left,Far,Topspin
0320,V007,116232,116253,Right,Far,Topspin
0321,V007,117027,117056,Left,Far,Topspin
0322,V007,117058,117084,Right,Far,Topspin
0323,V007,117087,117123,Left,Far,Topspin
0324,V007,117126,117148,Right,Far,Slice
0325,V007,117151,117198,Right,Far,Unsure
0326,V007,117762,117787,Right,Far,Slice
0327,V007,117790,117825,Left,Far,Topspin
0328,V007,118647,118668,Right,Far,Slice
0329,V007,118671,118692,Left,Far,Volley
0330,V007,118697,118728,Left,Far,Topspin
0331,V007,118729,118743,Right,Far,Volley
0332,V007,119443,119465,Left,Far,Slice
0333,V007,119468,119498,Left,Far,Topspin
0334,V007,119500,119525,Right,Far,Topspin
0335,V007,119528,119544,Left,Far,Volley
0336,V007,120549,120566,Right,Far,Topspin
0337,V007,120570,120593,Left,Far,Topspin
0338,V007,120595,120627,Left,Far,Slice
0339,V007,120630,120677,Left,Far,Topspin
0340,V007,123317,123342,Left,Near,Slice
0341,V007,123735,123766,Right,Near,Slice
0342,V007,123771,123805,Left,Near,Topspin
0343,V007,123809,123838,Right,Near,Flat
0344,V007,123863,123901,Left,Near,Smash
0345,V007,123904,123936,Right,Near,Unsure
0346,V007,123950,124034,Left,Near,Smash
0347,V007,124037,124076,Right,Near,Unsure
0348,V007,124757,124778,Left,Near,Slice
0349,V007,124781,124822,Left,Near,Topspin
0350,V007,124825,124851,Right,Near,Topspin
0351,V007,124855,124890,Right,Near,Unsure
0352,V007,125341,125366,Right,Near,Slice
0353,V007,125382,125414,Left,Near,Topspin
0354,V007,126073,126092,Right,Near,Flat
0355,V007,126095,126119,Right,Near,Topspin
0356,V007,126121,126150,Right,Near,Topspin
0357,V007,126152,126183,Left,Near,Slice
0358,V007,126187,126221,Left,Near,Topspin
0359,V007,126223,126263,Left,Near,Unsure
0360,V007,126268,126300,Left,Near,Volley
0361,V007,126308,126344,Right,Near,Topspin
0362,V007,127173,127191,Left,Near,Topspin
0363,V007,127746,127766,Left,Near,Topspin
0364,V007,127770,127801,Left,Near,Topspin
0365,V007,128248,128269,Left,Near,Slice
0366,V007,128271,128304,Right,Near,Topspin
0367,V007,128307,128337,Left,Near,Topspin
0368,V007,128341,128368,Left,Near,Topspin
0369,V007,128371,128400,Left,Near,Topspin
0370,V007,128403,128431,Right,Near,Topspin
0371,V007,130175,130200,Right,Near,Topspin
0372,V007,130202,130231,Left,Near,Topspin
0373,V007,130233,130264,Left,Near,Topspin
0374,V007,130267,130298,Left,Near,Topspin
0375,V007,130301,130319,Right,Near,Volley
0376,V007,130324,130355,Right,Near,Topspin
0377,V007,130356,130378,Left,Near,Volley
0378,V007,132850,132876,Left,Near,Topspin
0379,V007,132879,132912,Left,Near,Topspin
0380,V007,132915,132938,Left,Near,Topspin
0381,V007,134295,134314,Right,Near,Topspin
0382,V007,134318,134355,Right,Near,Topspin
0383,V007,135048,135078,Right,Near,Topspin
0001,V009,5984,6004,Left,Far,Unsure
0002,V009,6584,6603,Left,Far,Slice
0003,V009,6606,6650,Left,Far,Topspin
0004,V009,6651,6685,Left,Far,Topspin
0005,V009,6686,6718,Left,Far,Topspin
0006,V009,6720,6746,Right,Far,Topspin
0007,V009,6747,6778,Left,Far,Topspin
0008,V009,6779,6808,Left,Far,Topspin
0009,V009,6809,6846,Left,Far,Topspin
0010,V009,6847,6874,Right,Far,Topspin
0011,V009,6876,6912,Right,Far,Topspin
0012,V009,6914,6944,Left,Far,Topspin
0013,V009,6945,6972,Right,Far,Topspin
0014,V009,6974,7002,Left,Far,Topspin
0015,V009,7004,7035,Right,Far,Topspin
0016,V009,7037,7071,Right,Far,Topspin
0017,V009,7073,7116,Right,Far,Topspin
0018,V009,7118,7147,Left,Far,Slice
0019,V009,7148,7189,Left,Far,Topspin
0020,V009,7191,7218,Left,Far,Topspin
0021,V009,7220,7251,Right,Far,Topspin
0022,V009,7253,7282,Left,Far,Topspin
0023,V009,7283,7318,Left,Far,Topspin
0024,V009,8448,8467,Left,Far,Topspin
0025,V009,8468,8496,Right,Far,Topspin
0026,V009,8498,8528,Left,Far,Topspin
0027,V009,8529,8560,Left,Far,Topspin
0028,V009,8562,8584,Right,Far,Topspin
0029,V009,8585,8618,Right,Far,Topspin
0030,V009,8619,8647,Left,Far,Slice
0031,V009,8648,8692,Right,Far,Topspin
0032,V009,8694,8725,Left,Far,Topspin
0033,V009,8726,8762,Right,Far,Topspin
0034,V009,8764,8798,Left,Far,Slice
0035,V009,9553,9573,Right,Far,Topspin
0036,V009,9575,9604,Right,Far,Slice
0037,V009,9606,9639,Right,Far,Topspin
0038,V009,9640,9675,Right,Far,Slice
0039,V009,9676,9712,Right,Far,Topspin
0040,V009,9713,9752,Right,Far,Slice
0041,V009,9754,9786,Right,Far,Topspin
0042,V009,10584,10603,Left,Far,Slice
0043,V009,10604,10644,Left,Far,Topspin
0044,V009,10645,10673,Left,Far,Topspin
0045,V009,11923,11949,Right,Near,Topspin
0046,V009,13021,13042,Right,Near,Topspin
0047,V009,13043,13071,Left,Near,Topspin
0048,V009,13072,13106,Left,Near,Slice
0049,V009,14205,14229,Right,Near,Topspin
0050,V009,15318,15338,Left,Near,Topspin
0051,V009,15339,15374,Left,Near,Slice
0052,V009,15375,15417,Left,Near,Slice
0053,V009,15420,15463,Left,Near,Slice
0054,V009,15464,15491,Left,Near,Topspin
0055,V009,15492,15502,Left,Near,Volley
0056,V009,15503,15526,Left,Near,Topspin
0057,V009,16396,16416,Left,Far,Unsure
0058,V009,16641,16666,Right,Near,Slice
0059,V009,16668,16700,Right,Near,Topspin
0060,V009,17455,17478,Right,Near,Slice
0061,V009,18095,18123,Right,Near,Slice
0062,V009,18787,18807,Right,Far,Slice
0063,V009,19026,19047,Right,Near,Topspin
0064,V009,19049,19077,Right,Near,Topspin
0065,V009,19078,19109,Left,Near,Topspin
0066,V009,19110,19141,Right,Near,Topspin
0067,V009,20131,20149,Right,Near,Slice
0068,V009,20775,20796,Right,Near,Slice
0069,V009,24613,24637,Right,Far,Topspin
0070,V009,24638,24669,Right,Far,Topspin
0071,V009,24670,24701,Right,Far,Topspin
0072,V009,24702,24736,Right,Far,Topspin
0073,V009,24737,24768,Left,Far,Topspin
0074,V009,25332,25353,Left,Far,Topspin
0075,V009,25354,25386,Right,Far,Topspin
0076,V009,25387,25422,Right,Far,Topspin
0077,V009,25423,25456,Left,Far,Slice
0078,V009,25457,25500,Right,Far,Topspin
0079,V009,25502,25531,Left,Far,Slice
0080,V009,25534,25571,Right,Far,Topspin
0081,V009,25572,25601,Left,Far,Topspin
0082,V009,25603,25632,Right,Far,Topspin
0083,V009,25634,25663,Left,Far,Topspin
0084,V009,25664,25695,Left,Far,Topspin
0085,V009,25696,25721,Right,Far,Topspin
0086,V009,25722,25758,Right,Far,Topspin
0087,V009,25759,25789,Left,Far,Topspin
0088,V009,25791,25820,Right,Far,Topspin
0089,V009,25822,25851,Left,Far,Slice
0090,V009,25853,25891,Right,Far,Slice
0091,V009,25893,25921,Right,Far,Topspin
0092,V009,25923,25955,Right,Far,Topspin
0093,V009,27101,27120,Right,Far,Topspin
0094,V009,27550,27572,Left,Far,Topspin
0095,V009,27574,27604,Left,Far,Flat
0096,V009,28362,28378,Right,Far,Topspin
0097,V009,28379,28408,Left,Far,Slice
0098,V009,28412,28450,Left,Far,Topspin
0099,V009,28453,28479,Right,Far,Topspin
0100,V009,28483,28518,Right,Far,Slice
0101,V009,28520,28556,Left,Far,Topspin
0102,V009,28560,28594,Left,Far,Topspin
0103,V009,28597,28629,Right,Far,Topspin
0104,V009,29737,29762,Left,Far,Slice
0105,V009,29764,29805,Right,Far,Topspin
0106,V009,29806,29835,Left,Far,Slice
0107,V009,29837,29879,Left,Far,Topspin
0108,V009,29882,29907,Right,Far,Topspin
0109,V009,30565,30580,Right,Far,Topspin
0110,V009,30582,30611,Right,Far,Topspin
0111,V009,31697,31722,Left,Far,Slice
0112,V009,31724,31765,Left,Far,Topspin
0113,V009,31767,31789,Right,Far,Topspin
0114,V009,32493,32513,Left,Far,Slice
0115,V009,32514,32549,Right,Far,Topspin
0116,V009,32551,32575,Left,Far,Topspin
0117,V009,32576,32592,Left,Far,Volley
0118,V009,32593,32627,Left,Far,Unsure
0119,V009,32628,32640,Left,Far,Volley
0120,V009,33628,33649,Left,Far,Slice
0121,V009,33652,33685,Right,Far,Slice
0122,V009,33686,33715,Right,Far,Topspin
0123,V009,36234,36252,Left,Near,Slice
0124,V009,36253,36292,Left,Near,Topspin
0125,V009,36293,36322,Right,Near,Topspin
0126,V009,36323,36352,Left,Near,Topspin
0127,V009,36810,36830,Left,Near,Topspin
0128,V009,36831,36865,Left,Near,Topspin
0129,V009,37385,37406,Left,Near,Topspin
0130,V009,37884,37910,Left,Near,Slice
0131,V009,37915,37960,Left,Near,Topspin
0132,V009,38513,38532,Right,Near,Topspin
0133,V009,38993,39024,Left,Far,Slice
0134,V009,39448,39465,Right,Near,Topspin
0135,V009,39466,39494,Right,Near,Topspin
0136,V009,39497,39523,Right,Near,Topspin
0137,V009,39525,39555,Right,Near,Topspin
0138,V009,39557,39585,Left,Near,Topspin
0139,V009,39586,39613,Left,Near,Topspin
0140,V009,39615,39655,Right,Near,Unsure
0141,V009,39657,39692,Left,Near,Topspin
0142,V009,41193,41219,Left,Near,Topspin
0143,V009,41221,41254,Right,Near,Topspin
0144,V009,41255,41281,Left,Near,Topspin
0145,V009,41283,41312,Left,Near,Topspin
0146,V009,41314,41344,Left,Near,Topspin
0147,V009,41345,41372,Right,Near,Topspin
0148,V009,41373,41408,Left,Near,Topspin
0149,V009,41409,41443,Right,Near,Slice
0150,V009,41444,41482,Left,Near,Topspin
0151,V009,41484,41516,Right,Near,Topspin
0152,V009,41518,41547,Left,Near,Topspin
0153,V009,41548,41579,Right,Near,Topspin
0154,V009,41580,41609,Left,Near,Topspin
0155,V009,41610,41636,Left,Near,Topspin
0156,V009,41637,41677,Right,Near,Slice
0157,V009,41679,41720,Left,Near,Topspin
0158,V009,41721,41756,Right,Near,Topspin
0159,V009,41758,41790,Left,Near,Topspin
0160,V009,41792,41829,Left,Near,Topspin
0161,V009,41831,41857,Left,Near,Topspin
0162,V009,41858,41887,Right,Near,Topspin
0163,V009,41888,41915,Left,Near,Topspin
0164,V009,41917,41947,Left,Near,Topspin
0165,V009,41949,41977,Left,Near,Topspin
0166,V009,43112,43133,Left,Near,Topspin
0167,V009,43134,43164,Right,Near,Topspin
0168,V009,43165,43199,Right,Near,Topspin
0169,V009,43200,43228,Right,Near,Topspin
0170,V009,43230,43262,Left,Near,Topspin
0171,V009,43264,43289,Right,Near,Topspin
0172,V009,43290,43327,Right,Near,Topspin
0173,V009,43329,43357,Right,Near,Topspin
0174,V009,43361,43396,Left,Near,Topspin
0175,V009,43397,43418,Left,Near,Volley
0176,V009,43421,43451,Right,Near,Slice
0177,V009,43453,43478,Right,Near,Volley
0178,V009,45157,45177,Right,Near,Topspin
0179,V009,45790,45808,Right,Near,Slice
0180,V009,46659,46681,Right,Near,Topspin
0181,V009,49926,49949,Left,Far,Flat
0182,V009,49952,49992,Right,Far,Topspin
0183,V009,49993,50023,Right,Far,Topspin
0184,V009,50026,50059,Left,Far,Slice
0185,V009,50061,50093,Right,Far,Slice
0186,V009,50095,50122,Left,Far,Topspin
0187,V009,50123,50136,Left,Far,Volley
0188,V009,50139,50166,Right,Far,Topspin
0189,V009,51107,51123,Left,Far,Topspin
0190,V009,51124,51152,Left,Far,Topspin
0191,V009,51936,51956,Left,Far,Topspin
0192,V009,51957,51988,Right,Far,Topspin
0193,V009,51990,52021,Right,Far,Topspin
0194,V009,52023,52053,Right,Far,Topspin
0195,V009,52054,52087,Right,Far,Topspin
0196,V009,52088,52109,Left,Far,Volley
0197,V009,52112,52155,Left,Far,Volley
0198,V009,52159,52192,Left,Far,Volley
0199,V009,53522,53539,Right,Far,Topspin
0200,V009,53540,53565,Left,Far,Topspin
0201,V009,53566,53595,Left,Far,Topspin
0202,V009,53597,53630,Right,Far,Topspin
0203,V009,53631,53668,Right,Far,Topspin
0204,V009,53670,53701,Left,Far,Slice
0205,V009,53702,53745,Left,Far,Topspin
0206,V009,53746,53778,Left,Far,Slice
0207,V009,53780,53815,Left,Far,Topspin
0208,V009,53817,53849,Right,Far,Topspin
0209,V009,53851,53880,Right,Far,Topspin
0210,V009,53882,53920,Left,Far,Slice
0211,V009,53922,53965,Left,Far,Topspin
0212,V009,54678,54710,Left,Far,Unsure
0213,V009,55356,55376,Right,Far,Topspin
0214,V009,55378,55403,Right,Far,Topspin
0215,V009,55404,55438,Right,Far,Topspin
0216,V009,55439,55470,Left,Far,Topspin
0217,V009,56896,56917,Left,Near,Slice
0218,V009,56918,56956,Left,Near,Topspin
0219,V009,56957,56988,Left,Near,Slice
0220,V009,56990,57029,Left,Near,Topspin
0221,V009,57030,57062,Left,Near,Topspin
0222,V009,57063,57095,Right,Near,Topspin
0223,V009,57098,57138,Right,Near,Topspin
0224,V009,57140,57173,Left,Near,Topspin
0225,V009,57175,57212,Left,Near,Slice
0226,V009,57215,57247,Left,Near,Topspin
0227,V009,57249,57280,Right,Near,Topspin
0228,V009,57281,57308,Left,Near,Topspin
0229,V009,57310,57343,Left,Near,Topspin
0230,V009,58132,58151,Left,Near,Slice
0231,V009,58152,58195,Right,Near,Topspin
